Page Name,Tab Name,Keywords,URL,City,State
Situational Awareness,Operating Picture,"situation, awareness, operation, picture, view, report, overview",https://experience.arcgis.com/experience/f0cdcfa1d08d48da97197c51c6e3169d/page/1-Situational-Awareness?views=Operating-Picture-,Miami,Florida
Situational Awareness,Weather Maps,,https://experience.arcgis.com/experience/f0cdcfa1d08d48da97197c51c6e3169d/page/1-Situational-Awareness?draft=true&views=Weather,,
Situational Awareness,Natl Hurricane Center,"hurricane, center, national, weather, storm, track, alert",https://experience.arcgis.com/experience/f0cdcfa1d08d48da97197c51c6e3169d/page/1-Situational-Awareness?views=National-Hurricane-Center,Miami,Florida
Situational Awareness,Tropical Altantic,,https://experience.arcgis.com/experience/f0cdcfa1d08d48da97197c51c6e3169d/page/1-Situational-Awareness?draft=true&views=Tropical-Atlantic-,,
Situational Awareness,Situational Awareness,"situation, awareness, report, view, overview, monitor, track ",https://experience.arcgis.com/experience/f0cdcfa1d08d48da97197c51c6e3169d/page/1-Situational-Awareness?views=Situational-Awareness,Miami,Florida
Situational Awareness,Flood Gauges,"weather, maps, forecast, radar, conditions, outlook, temp",https://experience.arcgis.com/experience/f0cdcfa1d08d48da97197c51c6e3169d/page/1-Situational-Awareness?draft=true&views=Flood-Gauges-,Miami,Florida
Preparedness,NF Community Prep,"preparedness, community, prep, NF, readiness, training, plan",https://experience.arcgis.com/experience/f0cdcfa1d08d48da97197c51c6e3169d/page/2-Preparedness,Miami,Florida
Trailer Warehouse,RIM Inventory Mgmt,"trailer, warehouse, inventory, management, RIM, stock, control",https://experience.arcgis.com/experience/f0cdcfa1d08d48da97197c51c6e3169d/page/3-Trailer-Warehouse-Locations-?views=Regional-Inventory-Management,Miami,Florida
Trailer Warehouse,ERV,"trailer, warehouse, ERV, emergency, response, vehicle, fleet",https://experience.arcgis.com/experience/f0cdcfa1d08d48da97197c51c6e3169d/page/3-Trailer-Warehouse-Locations-?views=Emergency-Response-Vehicles,Miami,Florida
Trailer Warehouse,Trailers,"trailer, warehouse, transport, storage, equipment, unit, load",https://experience.arcgis.com/experience/f0cdcfa1d08d48da97197c51c6e3169d/page/3-Trailer-Warehouse-Locations-?views=Trailers,Miami,Florida
Trailer Warehouse,Feeding Logistics,"trailer, warehouse, feeding, logistics, food, supply, distribution ",https://experience.arcgis.com/experience/f0cdcfa1d08d48da97197c51c6e3169d/page/3-Trailer-Warehouse-Locations-?views=Feeding-Logistics,Miami,Florida
Workforce & Training,Door,,https://experience.arcgis.com/experience/f0cdcfa1d08d48da97197c51c6e3169d/page/4-Workforce-%26-Training-?draft=true&views=SECAR-SitAware,,
Workforce & Training,Workforce,,https://experience.arcgis.com/experience/f0cdcfa1d08d48da97197c51c6e3169d/page/4-Workforce-%26-Training-?draft=true&views=SECAR-SitAware%2CWorkforce,,
Partnerships,Partnership Delivery,,https://experience.arcgis.com/experience/f0cdcfa1d08d48da97197c51c6e3169d/page/5-Partnerships-?draft=true&views=Door%2CSECAR-SitAware,,
